,price(USD)
345,5305.6259093567605
346,5086.768918019197
347,5305.6259093567605
348,5086.768918019197
349,5415.054405025542
350,5305.6259093567605
351,4940.864257127488
352,5086.768918019197
353,4940.864257127488
354,5232.673578910906
355,4940.864257127488
356,12179.002094083367
357,5086.768918019197
358,5305.6259093567605
359,5086.768918019197
360,5086.768918019197
361,5232.673578910906
362,12106.049763637513
363,5086.768918019197
364,5232.673578910906
365,5312.191619096887
366,5378.578239802615
367,5086.768918019197
368,5305.6259093567605
369,5086.768918019197
370,5378.578239802615
371,12179.002094083367
372,5086.768918019197
373,5305.6259093567605
374,5305.6259093567605
375,4940.864257127488
376,5305.6259093567605
377,5086.768918019197
378,5086.768918019197
379,5086.768918019197
380,4940.864257127488
381,5086.768918019197
382,5013.816587573342
383,5422.349638070127
384,5670.3875615860325
385,5086.768918019197
386,5086.768918019197
387,5305.6259093567605
388,4940.864257127488
389,12179.002094083367
390,4940.864257127488
391,4940.864257127488
392,4940.864257127488
393,5013.816587573342
394,12179.002094083367
395,5305.6259093567605
396,4940.864257127488
397,5232.673578910906
398,5086.768918019197
399,5232.673578910906
400,5086.768918019197
401,5305.6259093567605
402,4794.959596235779
403,5305.6259093567605
404,5232.673578910906
405,5232.673578910906
406,5086.768918019197
407,11960.145102745804
408,5305.6259093567605
409,4940.864257127488
410,5305.6259093567605
411,4940.864257127488
412,4940.864257127488
413,5524.482900694324
414,5305.6259093567605
415,5305.6259093567605
416,5305.6259093567605
417,5305.6259093567605
418,5305.6259093567605
419,4940.864257127488
420,5305.6259093567605
421,5086.768918019197
422,2490.3816820456423
423,2125.6200298163703
424,2125.6200298163703
425,2417.429351599788
426,2125.6200298163703
427,1381.744835234943
428,8036.264028623987
429,1381.744835234943
430,1381.744835234943
431,1381.744835234943
432,1381.744835234943
433,1673.5541570183605
434,3453.113867964633
435,3307.209207072924
436,3380.1615375187785
437,3307.209207072924
438,3307.209207072924
439,3307.209207072924
440,3307.209207072924
441,3307.209207072924
442,3307.209207072924
443,3307.209207072924
444,3307.209207072924
445,3307.209207072924
446,3307.209207072924
447,3307.209207072924
448,4196.98906254606
449,4342.89372343777
450,4342.89372343777
451,4196.98906254606
452,4269.941392991915
453,4634.7030452211875
454,4707.655375667042
455,4196.98906254606
456,4196.98906254606
457,4269.941392991915
458,4196.98906254606
459,4342.89372343777
460,4196.98906254606
461,4269.941392991915
462,4051.0844016543515
463,4269.941392991915
464,4342.89372343777
465,4269.941392991915
466,11362.174569056086
467,4196.98906254606
468,4196.98906254606
469,4342.89372343777
470,4196.98906254606
471,5451.530570248469
472,12106.049763637513
473,5086.768918019197
474,5378.578239802615
475,5378.578239802615
476,5086.768918019197
477,5086.768918019197
478,5232.673578910906
479,5232.673578910906
480,12033.097433191659
481,2855.143334274915
482,2417.429351599788
483,2563.3340124914967
484,2855.143334274915
485,2563.3340124914967
486,2417.429351599788
487,2417.429351599788
488,2417.429351599788
489,2563.3340124914967
490,2563.3340124914967
491,2417.429351599788
492,9071.94854498883
493,2417.429351599788
494,2417.429351599788
495,2417.429351599788
496,2417.429351599788
497,2417.429351599788
498,2855.143334274915
499,2417.429351599788
500,2417.429351599788
501,2417.429351599788
502,2417.429351599788
503,2855.143334274915
504,2782.19100382906
505,2782.19100382906
506,9071.94854498883
507,2417.429351599788
508,2417.429351599788
509,2417.429351599788
510,2198.5723602622247
511,2782.19100382906
512,2563.3340124914967
513,2563.3340124914967
514,2782.19100382906
515,2417.429351599788
516,2417.429351599788
517,2855.143334274915
518,2782.19100382906
519,9217.853205880541
520,2417.429351599788
521,2388.2484194214458
522,9217.853205880541
523,2563.3340124914967
524,2563.3340124914967
525,2758.846258086387
526,2782.19100382906
527,2417.429351599788
528,2417.429351599788
529,2417.429351599788
530,2198.5723602622247
531,2855.143334274915
532,9071.94854498883
533,2417.429351599788
534,2417.429351599788
535,2417.429351599788
536,2417.429351599788
537,2417.429351599788
538,9217.853205880541
539,2417.429351599788
540,2417.429351599788
541,9217.853205880541
542,9217.853205880541
543,2417.429351599788
544,2417.429351599788
545,2417.429351599788
546,2417.429351599788
547,9217.853205880541
548,9217.853205880541
549,2417.429351599788
550,2563.3340124914967
551,2417.429351599788
552,9217.853205880541
553,9217.853205880541
554,2417.429351599788
555,9071.94854498883
556,9217.853205880541
557,2417.429351599788
558,9217.853205880541
559,9217.853205880541
560,2271.524690708079
561,3517.3119187569846
562,3599.0185288563425
563,3161.3045461812153
564,3161.3045461812153
565,3307.209207072924
566,3599.0185288563425
567,3307.209207072924
568,3599.0185288563425
569,9961.728400461969
570,3526.0661984104872
571,3307.209207072924
572,3526.0661984104872
573,3526.0661984104872
574,3161.3045461812153
575,3526.0661984104872
576,3599.0185288563425
577,3526.0661984104872
578,3526.0661984104872
579,3161.3045461812153
580,3526.0661984104872
581,3307.209207072924
582,3526.0661984104872
583,3161.3045461812153
584,3307.209207072924
585,3307.209207072924
586,3161.3045461812153
587,3599.0185288563425
588,3307.209207072924
589,3599.0185288563425
590,3599.0185288563425
591,3161.3045461812153
592,10253.537722245386
593,10253.537722245386
594,3599.0185288563425
595,9961.728400461969
596,3599.0185288563425
597,3599.0185288563425
598,10253.537722245386
599,3599.0185288563425
600,3599.0185288563425
601,3599.0185288563425
602,3599.0185288563425
603,3307.209207072924
604,3599.0185288563425
605,3599.0185288563425
606,3599.0185288563425
607,3307.209207072924
608,3599.0185288563425
609,3307.209207072924
610,3599.0185288563425
611,3599.0185288563425
612,3599.0185288563425
613,3307.209207072924
614,3307.209207072924
615,9952.244597504006
616,3599.0185288563425
617,3599.0185288563425
618,3307.209207072924
619,3161.3045461812153
620,9961.728400461969
621,3161.3045461812153
622,3307.209207072924
623,9961.728400461969
624,3307.209207072924
625,3307.209207072924
626,3599.0185288563425
627,3307.209207072924
628,9961.728400461969
629,3599.0185288563425
630,3307.209207072924
631,3278.028274894583
632,3307.209207072924
633,3599.0185288563425
634,3307.209207072924
635,9961.728400461969
636,3307.209207072924
637,3161.3045461812153
638,3307.209207072924
639,3599.0185288563425
640,3161.3045461812153
641,3307.209207072924
642,3599.0185288563425
643,3307.209207072924
644,3307.209207072924
645,9961.728400461969
646,9961.728400461969
647,9961.728400461969
648,9961.728400461969
649,3307.209207072924
650,9961.728400461969
651,3307.209207072924
652,3307.209207072924
653,3307.209207072924
654,9961.728400461969
655,9961.728400461969
656,3307.209207072924
657,3307.209207072924
658,9961.728400461969
659,3307.209207072924
660,9961.728400461969
661,3307.209207072924
662,3307.209207072924
663,3307.209207072924
664,9961.728400461969
665,9961.728400461969
666,9961.728400461969
667,3307.209207072924
668,9961.728400461969
669,3307.209207072924
670,9961.728400461969
671,9961.728400461969
672,3307.209207072924
673,3307.209207072924
674,3307.209207072924
675,3161.3045461812153
676,3307.209207072924
677,3307.209207072924
678,3307.209207072924
679,9961.728400461969
680,9961.728400461969
681,3307.209207072924
682,9961.728400461969
683,3307.209207072924
684,3307.209207072924
685,3307.209207072924
686,3307.209207072924
687,3307.209207072924
688,3307.209207072924
689,3161.3045461812153
690,3307.209207072924
691,3307.209207072924
692,3307.209207072924
693,9961.728400461969
694,9961.728400461969
695,9961.728400461969
696,3307.209207072924
697,2942.447554843652
698,3307.209207072924
699,3234.2568766270697
700,3234.2568766270697
701,3599.0185288563425
702,3088.352215735361
703,3234.2568766270697
704,3307.209207072924
705,3088.352215735361
706,3307.209207072924
707,3234.2568766270697
708,3234.2568766270697
709,3234.2568766270697
710,3307.209207072924
711,3599.0185288563425
712,3599.0185288563425
713,3599.0185288563425
714,3453.113867964633
715,3599.0185288563425
716,3380.1615375187785
717,3234.2568766270697
718,3307.209207072924
719,3453.113867964633
720,3234.2568766270697
721,3088.352215735361
722,3234.2568766270697
723,3234.2568766270697
724,3234.2568766270697
725,3599.0185288563425
726,3088.352215735361
727,3234.2568766270697
728,3234.2568766270697
729,3380.1615375187785
730,3088.352215735361
731,3453.113867964633
732,3234.2568766270697
733,3234.2568766270697
734,9961.728400461969
735,2869.4952243977978
736,3088.352215735361
737,2855.143334274915
738,2563.3340124914967
739,2417.429351599788
740,2563.3340124914967
741,2563.3340124914967
742,2563.3340124914967
743,2563.3340124914967
744,2855.143334274915
745,2855.143334274915
746,2855.143334274915
747,2855.143334274915
748,2417.429351599788
749,2563.3340124914967
750,2563.3340124914967
751,2417.429351599788
752,2563.3340124914967
753,2563.3340124914967
754,2417.429351599788
755,2563.3340124914967
756,2563.3340124914967
757,2286.11515679725
758,4051.0844016543515
759,4269.941392991915
760,4342.89372343777
761,4269.941392991915
762,4269.941392991915
763,4051.0844016543515
764,4196.98906254606
765,4269.941392991915
766,4196.98906254606
767,4051.0844016543515
768,4269.941392991915
769,3905.1797407626427
770,4196.98906254606
771,4342.89372343777
772,4051.0844016543515
773,4269.941392991915
774,4051.0844016543515
775,4196.98906254606
776,4051.0844016543515
777,4342.89372343777
778,4415.846053883624
779,4342.89372343777
780,4196.98906254606
781,4488.798384329479
782,4269.941392991915
783,4196.98906254606
784,4196.98906254606
785,4269.941392991915
786,11726.936221285358
787,4196.98906254606
788,4196.98906254606
789,4196.98906254606
790,4269.941392991915
791,4196.98906254606
792,4342.89372343777
793,10997.412916826814
794,4342.89372343777
795,4196.98906254606
796,4415.846053883624
797,10997.412916826814
798,4342.89372343777
799,4342.89372343777
800,4196.98906254606
801,4196.98906254606
802,4342.89372343777
803,4342.89372343777
804,4196.98906254606
805,4342.89372343777
806,4342.89372343777
807,4269.941392991915
808,4196.98906254606
809,4269.941392991915
810,4342.89372343777
811,4269.941392991915
812,4196.98906254606
813,5072.417027896314
814,4342.89372343777
815,4196.98906254606
816,4269.941392991915
817,4342.89372343777
818,4196.98906254606
819,4196.98906254606
820,4196.98906254606
821,4342.89372343777
822,4196.98906254606
823,4196.98906254606
824,4415.846053883624
825,4269.941392991915
826,4196.98906254606
827,4342.89372343777
828,16744.789899233027
829,4269.941392991915
830,4342.89372343777
831,10851.508255935103
832,4510.684083463235
833,4051.0844016543515
834,4196.98906254606
835,4342.89372343777
836,10997.412916826814
837,4342.89372343777
838,4342.89372343777
839,4342.89372343777
840,4342.89372343777
841,4051.0844016543515
842,4269.941392991915
843,4196.98906254606
844,4342.89372343777
845,4196.98906254606
846,4196.98906254606
847,4269.941392991915
848,10997.412916826814
849,4196.98906254606
850,4342.89372343777
851,4196.98906254606
852,4342.89372343777
853,4196.98906254606
854,4342.89372343777
855,4342.89372343777
856,4488.798384329479
857,4196.98906254606
858,4342.89372343777
859,4269.941392991915
860,4196.98906254606
861,10997.412916826814
862,4196.98906254606
863,4342.89372343777
864,4196.98906254606
865,4196.98906254606
866,4342.89372343777
867,4196.98906254606
868,4051.0844016543515
869,4196.98906254606
870,4342.89372343777
871,4488.798384329479
872,4196.98906254606
873,4488.798384329479
874,10997.412916826814
875,4196.98906254606
876,10997.412916826814
877,4488.798384329479
878,4051.0844016543515
879,4342.89372343777
880,4196.98906254606
881,4342.89372343777
882,4051.0844016543515
883,4342.89372343777
884,4057.6501113944787
885,4342.89372343777
886,4051.0844016543515
887,4196.98906254606
888,11143.317577718522
889,4342.89372343777
890,4051.0844016543515
891,10997.412916826814
892,11143.317577718522
893,11143.317577718522
894,4196.98906254606
895,4196.98906254606
896,10997.412916826814
897,10997.412916826814
898,3832.2274103167883
899,3307.209207072924
900,3307.209207072924
901,3307.209207072924
902,3307.209207072924
903,3307.209207072924
904,9961.728400461969
905,3307.209207072924
906,3307.209207072924
907,9961.728400461969
908,3453.113867964633
909,3380.1615375187785
910,3599.0185288563425
911,3380.1615375187785
912,3526.0661984104872
913,3307.209207072924
914,6866.32862896547
915,6939.280959411324
916,6866.32862896547
917,7158.137950748887
918,3453.113867964633
919,3453.113867964633
920,3453.113867964633
921,3380.1615375187785
922,3453.113867964633
923,3599.0185288563425
924,3453.113867964633
925,3380.1615375187785
926,3599.0185288563425
927,3380.1615375187785
928,3453.113867964633
929,3380.1615375187785
930,3453.113867964633
931,3526.0661984104872
932,7231.090281194742
933,7304.042611640596
934,6866.32862896547
935,6866.32862896547
936,7304.042611640596
937,6734.775858196644
938,13389.295051585686
939,6515.9188668590805
940,13535.199712477395
941,10705.603595043394
942,10997.412916826814
943,4342.89372343777
944,10705.603595043394
945,4342.89372343777
946,10997.412916826814
947,10997.412916826814
948,10705.603595043394
949,4342.89372343777
950,10997.412916826814
951,4051.0844016543515
952,10705.603595043394
953,4342.89372343777
954,10997.412916826814
955,4940.864257127488
956,5086.768918019197
957,5086.768918019197
958,5086.768918019197
959,5086.768918019197
960,5086.768918019197
961,4940.864257127488
962,5086.768918019197
963,5086.768918019197
964,5086.768918019197
965,5086.768918019197
966,4940.864257127488
967,5086.768918019197
968,5086.768918019197
969,5159.721248465052
970,5086.768918019197
971,5086.768918019197
972,5086.768918019197
973,5086.768918019197
974,5086.768918019197
975,5086.768918019197
976,5086.768918019197
977,5086.768918019197
978,11814.240441854095
979,11741.288111408241
980,5086.768918019197
981,11741.288111408241
982,5086.768918019197
983,5086.768918019197
984,5159.721248465052
985,5086.768918019197
986,5451.530570248469
987,5451.530570248469
988,5086.768918019197
989,5451.530570248469
990,5159.721248465052
991,5451.530570248469
992,5816.292222477741
993,5159.721248465052
994,5451.530570248469
995,11737.640494885949
996,5159.721248465052
997,5086.768918019197
998,5086.768918019197
999,5451.530570248469
1000,5816.292222477741
1001,11887.19277229995
1002,5232.673578910906
1003,5232.673578910906
1004,5816.292222477741
1005,11887.19277229995
1006,5086.768918019197
1007,5232.673578910906
1008,11887.19277229995
1009,11887.19277229995
1010,11887.19277229995
1011,11887.19277229995
1012,5232.673578910906
1013,5232.673578910906
1014,5232.673578910906
1015,11887.19277229995
1016,5254.559278044662
1017,5232.673578910906
1018,5232.673578910906
1019,11887.19277229995
1020,5232.673578910906
1021,12251.954424529222
1022,3453.113867964633
1023,3599.0185288563425
1024,3963.7801810856145
1025,10253.537722245386
1026,2504.733572168525
1027,3599.0185288563425
1028,3599.0185288563425
1029,3599.0185288563425
1030,3599.0185288563425
1031,3599.0185288563425
1032,3453.113867964633
1033,3453.113867964633
1034,3599.0185288563425
1035,3453.113867964633
1036,3599.0185288563425
1037,10253.537722245386
1038,3599.0185288563425
1039,3453.113867964633
1040,3599.0185288563425
1041,3599.0185288563425
1042,10618.299374474658
1043,3453.113867964633
1044,3599.0185288563425
1045,3453.113867964633
1046,3453.113867964633
1047,3599.0185288563425
1048,3453.113867964633
1049,3453.113867964633
1050,3744.9231897480513
1051,3599.0185288563425
1052,3453.113867964633
1053,3453.113867964633
1054,3599.0185288563425
1055,3599.0185288563425
1056,3453.113867964633
1057,3592.4528191162153
1058,3599.0185288563425
1059,3599.0185288563425
1060,3599.0185288563425
1061,3599.0185288563425
1062,3744.9231897480513
1063,3744.9231897480513
1064,3453.113867964633
1065,3599.0185288563425
1066,10253.537722245386
1067,3453.113867964633
1068,3599.0185288563425
1069,3599.0185288563425
1070,3599.0185288563425
1071,3453.113867964633
1072,3599.0185288563425
1073,3599.0185288563425
1074,3599.0185288563425
1075,3453.113867964633
1076,3453.113867964633
1077,3599.0185288563425
1078,3453.113867964633
1079,10253.537722245386
1080,3599.0185288563425
1081,3599.0185288563425
1082,3599.0185288563425
1083,10253.537722245386
1084,3599.0185288563425
1085,3453.113867964633
1086,3599.0185288563425
1087,3599.0185288563425
1088,3599.0185288563425
1089,3599.0185288563425
1090,15271.391400193055
1091,3453.113867964633
1092,3599.0185288563425
1093,3599.0185288563425
1094,3599.0185288563425
1095,3599.0185288563425
1096,3599.0185288563425
1097,3453.113867964633
1098,3599.0185288563425
1099,3453.113867964633
1100,3599.0185288563425
1101,3453.113867964633
1102,3453.113867964633
1103,3453.113867964633
1104,3890.82785063976
1105,10837.156365812221
1106,5451.530570248469
1107,7318.39450176348
1108,7318.39450176348
1109,7318.39450176348
1110,7318.39450176348
1111,7391.346832209334
1112,7318.39450176348
1113,7318.39450176348
1114,7464.299162655188
1115,7318.39450176348
1116,13972.913695152523
1117,7318.39450176348
1118,7318.39450176348
1119,7464.299162655188
1120,7318.39450176348
1121,7464.299162655188
1122,14118.818356044232
1123,7464.299162655188
1124,7318.39450176348
1125,7464.299162655188
1126,4634.7030452211875
1127,11216.269908164377
1128,4707.655375667042
1129,4342.89372343777
1130,15884.026176867621
1131,8208.174357236616
1132,8208.174357236616
1133,5305.6259093567605
1134,5305.6259093567605
1135,1308.7925047890885
1136,1308.7925047890885
1137,1308.7925047890885
1138,1979.7153689246616
1139,2271.524690708079
1140,2198.5723602622247
1141,2271.524690708079
1142,5990.900663615216
1143,5990.900663615216
1144,6282.709985398634
1145,6282.709985398634
1146,6282.709985398634
1147,6063.852994061071
1148,6136.805324506925
1149,6134.61675459355
1150,2344.4770211539335
1151,2270.0656440991615
1152,2344.4770211539335
1153,2344.4770211539335
1154,2344.4770211539335
1155,2344.4770211539335
1156,2271.524690708079
1157,2344.4770211539335
1158,2344.4770211539335
1159,2344.4770211539335
1160,2636.286342937351
1161,15986.562814528716
1162,2416.699828295329
1163,2344.4770211539335
1164,2344.4770211539335
1165,2417.429351599788
1166,2271.524690708079
1167,2271.524690708079
1168,2271.524690708079
1169,2563.3340124914967
1170,2563.3340124914967
1171,2490.3816820456423
1172,2490.3816820456423
1173,2490.3816820456423
1174,2490.3816820456423
1175,2344.4770211539335
1176,2490.3816820456423
1177,2344.4770211539335
1178,2563.3340124914967
1179,2490.3816820456423
1180,2490.3816820456423
1181,2490.3816820456423
1182,2125.6200298163703
1183,2490.3816820456423
